,ID,Dataset,Experiment Name,RNN,Epoch,Units,Batch Size,Activation,Metric,train_loss,train_metric,val_loss,val_metric,Total Time
0,0,TIMIT,LSTM,lstm,25.0,64,1024,tanh,acc,3.806965351104736,0.05277586355805397,3.8151013851165767,0.05012749880552292,4:27:47.569604
1,1,TIMIT,GRU,gru,25.0,64,1024,tanh,acc,3.8080751895904537,0.05190584063529968,3.813917875289917,0.050160400569438934,2:35:50.235936
2,2,TIMIT,GRU,gru,25.0,256,512,tanh,acc,3.809918403625488,0.05080600082874298,3.816770315170288,0.05012749880552292,4:37:19.039707
3,3,TIMIT,LSTM_NIG,lstm_variants,,256,512,tanh,acc,,,,,
4,4,IMDB,LSTM_NP,lstm,25.0,128,512,tanh,acc,0.08433999866247177,0.9758222103118896,0.6865667700767517,0.7961999773979187,1:20:47.507077
5,5,IMDB,LSTM_FGR,lstm_variants,25.0,128,512,tanh,acc,0.30097249150276184,0.8892889022827148,0.6270185708999634,0.7504000067710876,2:00:33.644235
6,6,IMDB,LSTM_NIAF,lstm_variants_1,25.0,128,512,tanh,acc,0.09457819163799286,0.97079998254776,0.7565367817878723,0.7749999761581421,1:27:20.836088
7,7,IMDB,LSTM_NOAF,lstm_variants_2,25.0,128,512,tanh,acc,0.07738903909921646,0.9768444299697876,0.8374797701835632,0.7685999870300293,1:28:09.081790
8,8,IMDB,LSTM_NIG,lstm_variants,25.0,128,512,tanh,acc,0.06833440810441971,0.9810888767242432,0.7383835911750793,0.7954000234603882,1:09:32.082898
9,9,IMDB,LSTM_NFG,lstm_variants_1,25.0,128,512,tanh,acc,0.07785911858081818,0.9777110815048218,0.7842496633529663,0.7789999842643738,1:09:10.769992
10,10,IMDB,LSTM_NOG,lstm_variants_2,25.0,128,512,tanh,acc,0.5059816241264343,0.7516000270843506,0.6149088144302368,0.6808000206947327,1:11:46.648201
